"Image Name","PID","Session Name","Session#","Mem Usage"
"csrss.exe","1660","Console","47","7,120 K"
"dwm.exe","19936","Console","47","91,784 K"
"NVDisplay.Container.exe","5744","Console","47","28,748 K"
"avp.exe","17908","Console","47","3,036 K"
"sihost.exe","16392","Console","47","28,328 K"
"igfxEM.exe","15924","Console","47","17,660 K"
"svchost.exe","21796","Console","47","29,824 K"
"taskhostw.exe","22388","Console","47","16,592 K"
"explorer.exe","14448","Console","47","144,784 K"
"svchost.exe","7648","Console","47","23,244 K"
"StartMenuExperienceHost.exe","19892","Console","47","64,260 K"
"ctfmon.exe","8776","Console","47","23,000 K"
"SearchApp.exe","12620","Console","47","223,288 K"
"SynTPEnh.exe","22296","Console","47","31,024 K"
"RuntimeBroker.exe","21636","Console","47","44,088 K"
"YourPhone.exe","21448","Console","47","2,500 K"
"SettingSyncHost.exe","24116","Console","47","6,904 K"
"LockApp.exe","13124","Console","47","47,788 K"
"RuntimeBroker.exe","13672","Console","47","33,648 K"
"SynTPHelper.exe","22480","Console","47","5,888 K"
"RtkAudUService64.exe","14124","Console","47","8,212 K"
"UniKeyNT.exe","13924","Console","47","9,208 K"
"Cortana.exe","3372","Console","47","58,048 K"
"Snagit32.exe","21364","Console","47","57,928 K"
"acrotray.exe","12692","Console","47","7,712 K"
"Dropbox.exe","17756","Console","47","237,196 K"
"Dropbox.exe","18952","Console","47","9,004 K"
"SnagitEditor.exe","23512","Console","47","106,528 K"
"ApplicationFrameHost.exe","19236","Console","47","28,096 K"
"WinStore.App.exe","17360","Console","47","1,644 K"
"SystemSettings.exe","3488","Console","47","1,456 K"
"PaintStudio.View.exe","9368","Console","47","1,492 K"
"Microsoft.Photos.exe","21080","Console","47","1,800 K"
"RuntimeBroker.exe","13792","Console","47","28,424 K"
"ShellExperienceHost.exe","2112","Console","47","55,016 K"
"nahimicNotifSys.exe","10728","Console","47","43,572 K"
"chrome.exe","20808","Console","47","189,572 K"
"chrome.exe","11200","Console","47","7,204 K"
"chrome.exe","680","Console","47","195,608 K"
"TextInputHost.exe","8292","Console","47","44,936 K"
"AdobeARM.exe","2016","Console","47","3,048 K"
"Acrobat.exe","12784","Console","47","185,084 K"
"AcroCEF.exe","17240","Console","47","24,752 K"
"msedge.exe","19716","Console","47","126,340 K"
"msedge.exe","7312","Console","47","7,252 K"
"msedge.exe","13428","Console","47","109,716 K"
"dllhost.exe","1044","Console","47","12,600 K"
"Code.exe","19568","Console","47","78,164 K"
"Code.exe","7760","Console","47","24,240 K"
"Code.exe","14060","Console","47","157,456 K"
"conhost.exe","13484","Console","47","6,280 K"
"pwsh.exe","23240","Console","47","79,280 K"
"conhost.exe","17628","Console","47","6,424 K"
"pwsh.exe","12976","Console","47","304,060 K"
